Name,ActiveCases,Recovered,Death,Total cases,Date
Dadra and Nagar Haveli and Daman and Diu,183,114,0,297,7/7/2020
Delhi,25620,72088,3115,100823,7/7/2020
Goa,745,1061,7,1813,7/7/2020
Gujarat,8497,26315,1960,36772,7/7/2020
Haryana,3893,13335,276,17504,7/7/2020
Himachal Pradesh,303,763,11,1077,7/7/2020
Jammu and Kashmir,3219,5318,138,8675,7/7/2020
Jharkhand,759,2068,20,2847,7/7/2020
Karnataka,14389,10527,401,25317,7/7/2020
Kerala,2254,3341,27,5622,7/7/2020
Ladakh,168,836,1,1005,7/7/2020
Madhya Pradesh,3088,11579,617,15284,7/7/2020
Maharashtra,87699,115262,9026,211987,7/7/2020
Manipur,656,734,0,1390,7/7/2020
Meghalaya,36,43,1,80,7/7/2020
Mizoram,64,133,0,197,7/7/2020
Nagaland,382,243,0,625,7/7/2020
Odisha,3002,6486,38,9526,7/7/2020
Puducherry,459,331,12,802,7/7/2020
Punjab,1828,4494,169,6491,7/7/2020
Rajasthan,3949,16278,461,20688,7/7/2020
Sikkim,60,65,0,125,7/7/2020
Tamil Nadu,46836,66571,1571,114978,7/7/2020
Telangana,10646,14781,306,25733,7/7/2020
Tripura,460,1219,1,1680,7/7/2020
Uttar Pradesh,8718,19109,809,28636,7/7/2020
Uttarakhand,533,2586,42,3161,7/7/2020
West Bengal,6973,15235,779,22987,7/7/2020
Andaman and Nicobar Islands,72,75,0,147,7/8/2020
Andhra Pradesh,11200,9745,252,21197,7/8/2020
Arunachal Pradesh,169,105,2,276,7/8/2020
Assam,4179,8329,14,12522,7/8/2020
Bihar,3182,9284,104,12570,7/8/2020
Chandigarh,86,401,7,494,7/8/2020
Chhattisgarh,650,2751,14,3415,7/8/2020
Dadra and Nagar Haveli and Daman and Diu,222,183,0,405,7/8/2020
Delhi,25449,74217,3165,102831,7/8/2020
Goa,739,1156,8,1903,7/8/2020
Gujarat,8853,26720,1977,37550,7/8/2020
Haryana,4075,13645,279,17999,7/8/2020
Himachal Pradesh,282,790,11,1083,7/8/2020
Jammu and Kashmir,3389,5399,143,8931,7/8/2020
Jharkhand,870,2104,22,2996,7/8/2020
Karnataka,15301,11098,416,26815,7/8/2020
Kerala,2415,3452,27,5894,7/8/2020
Ladakh,204,836,1,1041,7/8/2020
Madhya Pradesh,3237,11768,622,15627,7/8/2020
Maharashtra,89313,118558,9250,217121,7/8/2020
Manipur,659,771,0,1430,7/8/2020
Meghalaya,36,43,1,80,7/8/2020
Mizoram,64,133,0,197,7/8/2020
Nagaland,382,243,0,625,7/8/2020
Odisha,3352,6703,42,10097,7/8/2020
Puducherry,482,434,14,930,7/8/2020
Punjab,2020,4554,175,6749,7/8/2020
Rajasthan,4357,16575,472,21404,7/8/2020
Sikkim,55,70,0,125,7/8/2020
Tamil Nadu,45842,71116,1636,118594,7/8/2020
Telangana,11012,16287,313,27612,7/8/2020
Tripura,455,1248,1,1704,7/8/2020
Uttar Pradesh,9514,19627,827,29968,7/8/2020
Uttarakhand,566,2621,43,3230,7/8/2020
West Bengal,7243,15790,804,23837,7/8/2020
Andaman and Nicobar Islands,72,77,0,149,7/9/2020
Andhra Pradesh,10894,11101,264,22259,7/9/2020
Arunachal Pradesh,176,109,2,287,7/9/2020
Assam,4591,8729,16,13336,7/9/2020
Bihar,3528,9554,107,13189,7/9/2020
Chandigarh,104,402,7,513,7/9/2020
Chhattisgarh,676,2835,14,3525,7/9/2020
Dadra and Nagar Haveli and Daman and Diu,224,184,0,408,7/9/2020
Delhi,23452,78199,3213,104864,7/9/2020
Goa,824,1207,8,2039,7/9/2020
Gujarat,9051,27289,1993,38333,7/9/2020
Haryana,4302,14106,282,18690,7/9/2020
Himachal Pradesh,257,833,11,1101,7/9/2020
Jammu and Kashmir,3545,5567,149,9261,7/9/2020
Jharkhand,904,2170,22,3096,7/9/2020
Karnataka,16531,11876,470,28877,7/9/2020
Kerala,2609,3559,27,6195,7/9/2020
Ladakh,204,836,1,1041,7/9/2020
Madhya Pradesh,3420,11987,629,16036,7/9/2020
Maharashtra,91084,123192,9448,223724,7/9/2020
Manipur,642,793,0,1435,7/9/2020
Meghalaya,36,43,1,80,7/9/2020
Mizoram,64,133,0,197,7/9/2020
Nagaland,353,304,0,657,7/9/2020
Odisha,3570,7006,48,10624,7/9/2020
Puducherry,514,480,14,1008,7/9/2020
Punjab,1901,4828,178,6907,7/9/2020
Rajasthan,4715,16866,482,22063,7/9/2020
Sikkim,62,71,0,133,7/9/2020
Tamil Nadu,46483,74167,1700,122350,7/9/2020
